State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,NA,103,24,52,40,35,45,4,0,Moderate
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,NA,105,71,79,75,2,73,77,0,High
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",150,RIRuO,NA,88,8,70,26,17,35,10,0,Low
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,NA,87,12,100,30,19,42,15,0,Low
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,152,RIRuO,NA,88,12,58,27,17,43,10,0,Low
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,NA,108,42,286,128,72,189,46,69,Critical
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",203,RIRuO,NA,108,30,241,120,58,197,53,59,Critical
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,NA,109,19,240,85,40,124,38,30,High
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,NA,107,27,240,98,65,139,33,36,Critical
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,NA,106,35,233,106,64,150,37,54,Critical
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,NA,108,13,175,75,31,122,35,25,High
Andhra Pradesh,Hydrabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",745,RIRuO,NA,95,33,215,98,57,143,36,43,Critical
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,578,RIRuO,NA,Null,45,70,58,53,62,4,0,Moderate
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,NA,90,53,81,63,57,70,6,0,High
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,NA,102,44,100,74,56,88,12,0,High
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,577,RIRuO,NA,108,47,145,79,63,97,16,6,High
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",580,RIRuO,NA,102,45,78,62,54,72,7,0,High
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",468,RIRuO,NA,108,74,153,108,89,127,16,67,Critical
Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",465,RIRuO,NA,81,15,200,82,30,128,40,29,High
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",389,RIRuO,NA,103,25,45,37,33,42,3,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,NA,115,66,116,95,86,106,9,30,Critical
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,NA,106,61,128,99,89,109,10,52,Critical
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,NA,101,13,141,49,21,72,22,1,Moderate
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,NA,107,11,222,57,24,116,39,12,Moderate
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,NA,107,16,164,62,25,111,33,14,High
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,NA,108,19,285,104,50,175,52,39,Critical
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,NA,108,13,170,51,21,90,30,6,Moderate
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,NA,108,16,147,58,33,90,26,8,Moderate
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,467,RIRuO,NA,108,21,303,96,52,145,41,34,Critical
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,NA,108,15,204,61,27,95,32,9,High
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,NA,98,7,84,30,14,50,16,0,Low
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",542,RIRuO,NA,103,24,64,46,36,56,8,0,Moderate
Assam,Bongaigaon,Barpara Office Building,520,RIRuO,NA,100,20,68,45,33,59,10,0,Moderate
Assam,Daranga,"BATAD, Baska",566,RIRuO,NA,80,17,207,56,22,89,35,9,Moderate
Assam,Dibrugarh,Dibrugarh Office Building,538,RIRuO,NA,102,12,174,56,21,108,35,14,Moderate
Assam,Golaghat,Golaghat Office Building,539,ES,Numaligarh,93,12,148,55,20,105,34,13,Moderate
Assam,Guwahati,"Head Office, Bamunimaidam",193,RIRuO,NA,260,28,396,106,45,197,61,43,Critical
Assam,Guwahati,"Boragaon, IASST, Kamrup",603,RIRuO,NA,103,16,184,69,26,134,42,24,High
Assam,Guwahati,"Guwahati University, Kamrup",602,RIRuO,NA,124,17,335,84,28,150,54,31,High
Assam,Guwahati,"ITI Building, Gopinath Nagar",519,RIRuO,NA,263,17,347,104,32,193,67,44,Critical
Assam,Guwahati,"Khanapara, Central Dairy, Kamrup",596,RIRuO,NA,246,16,354,94,27,185,65,40,Critical
Assam,Guwahati,"Near Pragjyotish College, Santipur",541,RIRuO,NA,259,17,307,94,32,170,59,38,Critical
Assam,Margherita,Coal India Office,586,RIRuO,NA,96,16,181,54,23,96,35,8,Moderate
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur Town",587,RIRuO,NA,103,12,185,45,72,26,143,23,Moderate
Assam,Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,NA,94,20,229,79,26,156,53,29,High
Assam,Nalbari,PWD Rural Div Office Complex,597,RIRuO,NA,104,22,230,82,31,162,51,32,High
Assam,Sibsagar,Sibasagar Office Building,537,RIRuO,NA,103,37,287,115,59,191,53,53,Critical
Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",604,RIRuO,NA,101,22,300,103,62,45,174,41,Critical
Assam,Silchar,Janiganj Govt. Boys HS School campus,607,RIRuO,NA,94,21,400,99,33,176,79,34,Critical
Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",567,RIRuO,NA,91,21,260,82,42,124,44,23,High
Assam,Tezpur,Tezpur Office Building,536,RIRuO,NA,102,47,203,11,69,23,143,25,Low
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,NA,97,18,172,60,26,118,37,19,Moderate
Assam,Tinsukia,"Shreepuria, Borguri",605,RIRuO,NA,95,18,173,53,23,109,36,15,Moderate
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,NA,108,16,362,137,47,225,68,68,Critical
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,NA,83,34,549,196,82,334,106,81,Critical
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,NA,93,45,379,133,74,202,57,70,Critical
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,NA,106,21,339,101,45,165,52,44,Critical
Chandigarh,Chandigarh,"Punjab Engineering College, Sector- 12",264,RIRuO,NA,104,25,258,96,46,151,45,42,Critical
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,NA,102,13,343,103,47,164,52,46,Critical
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,NA,98,28,250,118,49,195,55,58,Critical
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,NA,88,61,102,88,81,94,6,2,High
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,NA,90,53,88,68,58,76,7,0,High
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,NA,92,79,191,153,133,169,23,91,Critical
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",669,RIRuO,NA,71,Null,Null,Null,Null,Null,Null,Null,Null
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",364,RIRuO,NA,87,82,90,85,82,87,2,0,Null
Chattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",249,RIRuO,NA,92,52,85,73,65,79,6,0,High
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,NA,85,64,99,84,77,93,6,0,High
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,NA,16,261,306,280,267,296,14,100,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora",223,RIRuO,NA,62,219,388,317,252,370,45,100,Critical
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,NA,19,142,244,208,187,229,22,100,Null
Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",558,RIRuO,NA,75,Null,Null,Null,Null,Null,Null,Null,Null
Daman & Diu,Daman,"Kadaiya Industrial Area, Kadaiya",560,RIRuO,NA,76,Null,Null,Null,Null,Null,Null,Null,Null
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",144,RIRuO,NA,96,22,735,186,56,349,130,79,Critical
Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",146,RIRuO,NA,96,49,589,256,94,437,129,89,Critical
Delhi,Delhi,"Mayapuri Industrial Area, Delhi",345,RIRuO,NA,96,41,843,268,99,452,152,90,Critical
Delhi,Delhi,Pritampura,531,RIRuO,NA,77,62,697,206,98,330,117,90,Critical
Delhi,Delhi,Shahadra,58,RIRuO,NA,78,84,651,253,119,421,121,97,Critical
Delhi,Delhi,Shahzada Bagh,57,RIRuO,NA,77,65,713,243,106,370,118,92,Critical
Delhi,Delhi,Nizamuddin,55,RIRuO,NA,76,70,457,187,105,277,77,91,Critical
Delhi,Delhi,Janakpuri,59,RIRuO,NA,68,65,579,246,126,376,104,96,Critical
Delhi,Delhi,Siri Fort,60,RIRuO,NA,78,77,529,291,169,424,99,99,Critical
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,NA,102,12,196,67,29,123,37,20,High
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,NA,34,55,225,112,62,172,49,41,Null
Goa,Vasco,"Fuse Call Office, Mormugao",37,RIRuO,NA,34,46,165,84,55,131,32,26,Null
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,NA,104,32,254,112,52,196,56,39,Critical
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,NA,105,29,263,121,51,233,75,43,Critical
Goa,Honda,"Honda Junction, Sattari",631,ES,Sahyadri,104,32,319,135,51,244,82,43,Critical
Goa,Bicholim,Bicholim Taluk,632,RIRuO,NA,103,32,330,119,41,268,85,38,Critical
Goa,Amona,"Amona, Bicholim",633,RIRuO,NA,103,23,224,90,49,146,39,30,High
Goa,Assanora,"Assanora Junction, Bardez Taluka",634,RIRuO,NA,105,21,182,84,47,128,33,25,High
Goa,Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,NA,103,25,316,121,47,224,73,50,Critical
Goa,Margao,Margao Town,774,RIRuO,NA,103,22,153,67,35,98,26,9,High
Goa,Tilamol,"Quepem, Tilamol",778,RIRuO,NA,105,26,217,114,50,194,56,42,Critical
Goa,Mapusa,Mapusa town,775,RIRuO,NA,101,20,323,82,42,124,41,25,High
Goa,Sanguem,"Near Railway Station at Kalem, Sanguem",777,RIRuO,NA,92,28,249,100,48,177,54,35,Critical
Goa,Ponda,Ponda Town,776,RIRuO,NA,103,25,124,60,34,85,21,5,Moderate
Goa,Kundaim,Kundaim Industrial Estate,780,RIRuO,NA,59,27,113,63,40,84,18,3,High
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,NA,34,83,237,114,94,137,27,71,Null
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,NA,44,62,213,88,69,104,24,16,Null
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,NA,44,48,199,67,55,70,21,2,Null
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,NA,44,57,225,79,65,93,25,2,Null
Gujarat,Ahmedabad,"R.C. Technical High School, Mirzapur",155,RIRuO,NA,44,55,203,71,59,77,22,2,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C.",347,RIRuO,NA,44,62,209,77,63,88,23,7,Null
Gujarat,Anklesvar,Rallis India Ltd.,252,RIRuO,NA,44,92,263,110,96,117,25,82,Null
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,NA,44,75,134,89,81,95,9,5,Null
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,NA,44,90,108,101,95,106,4,59,Null
Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,257,RIRuO,NA,44,97,166,118,103,132,12,98,Null
Gujarat,Rajkot,GPCB Regional Offce,374,RIRuO,NA,44,58,125,79,68,89,11,2,Null
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,NA,62,58,242,87,70,96,23,5,High
Gujarat,Surat,"B.R.C. High School, Udhna",22,RIRuO,NA,62,82,131,109,96,120,10,82,Critical
Gujarat,Surat,Near Air India Office,23,RIRuO,NA,62,71,123,95,80,106,10,29,Critical
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,NA,44,35,239,62,45,72,29,2,Null
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,NA,34,78,305,104,85,112,37,50,Null
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,NA,34,110,397,141,116,147,51,100,Null
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",367,RIRuO,NA,44,85,135,103,90,116,11,64,Null
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,NA,44,78,128,97,88,112,10,32,Null
Haryana,Faridabad,"M/s Escorts Research centre,Mathura Road",331,RIRuO,NA,83,80,307,197,103,288,67,93,Critical
Haryana,Faridabad,Haryana RO SPCB Sector-16A,330,RIRuO,NA,111,69,317,170,93,222,51,84,Critical
Haryana,Hissar,Urban Estate - II,390,RIRuO,NA,72,50,518,159,92,260,80,81,Critical
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,NA,40,49,83,64,53,73,8,0,Null
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,NA,117,57,210,108,33,71,156,51,Critical
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,NA,106,38,205,101,32,64,146,43,Critical
Himachal Pradesh,Baddi,Housing Board,563,RIRuO,NA,70,29,227,88,38,52,131,30,High
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,NA,143,17,189,74,38,121,33,20,High
Himachal Pradesh,Damtal,Old Road,271,RIRuO,NA,134,41,315,120,59,191,55,57,Critical
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,NA,103,74,374,219,133,318,67,99,Critical
Himachal Pradesh,Kala Amb,Kala Amb Town/Trilokpur,530,RIRuO,NA,102,29,246,110,54,181,48,51,Critical
Himachal Pradesh,Nalagarh,Municipal Council,565,RIRuO,NA,82,31,210,89,47,120,30,40,High
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,NA,153,20,199,65,37,100,29,10,High
Himachal Pradesh,Parwanoo,Asst. Commissioner Building Sector I,339,RIRuO,NA,147,34,188,94,57,132,31,40,Critical
Himachal Pradesh,Paonta Sahib,Paonta Sahib,117,RIRuO,NA,140,35,427,133,68,55,222,63,Critical
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,NA,127,34,355,174,64,95,262,86,Critical
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES,Hill station,125,14,176,51,20,89,27,5,Moderate
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES,Hill station,121,15,151,64,29,104,30,13,High
Himachal Pradesh,Una,"Regional Office, Una",667,RIRuO,NA,Null,25,170,67,39,95,24,6,High
Himachal Pradesh,Una,"DIC Building, Mehatpur, Una",668,RIRuO,NA,Null,31,136,71,47,94,20,9,High
Himachal Pradesh,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",665,RIRuO,NA,105,32,328,87,46,123,42,27,High
Himachal Pradesh,Sunder Nagar,"Muncipal Council, NH-21, Mandi",666,RIRuO,NA,23,28,195,102,62,170,42,39,Null
Himachal Pradesh,Manali,"Nehru Park, Manali, District Kullu",670,ES,Hill station,104,7,380,112,29,212,74,46,Critical
Himachal Pradesh,Manali,"HPSPCB, Hadimba Road, Manali, Kullu",671,ES,Hill station,77,7,180,57,15,119,40,15,Moderate
Jammu & Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,NA,77,18,268,115,57,172,47,58,Critical
Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk",482,RIRuO,NA,59,52,222,107,62,136,31,63,Critical
Jammu & Kashmir,Jammu,Bari Brahamana Industrial Area,507,RIRuO,NA,66,70,351,136,88,185,45,77,Critical
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,NA,102,63,247,135,89,178,37,79,Critical
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,NA,70,125,258,193,157,229,100,70,Critical
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,NA,84,105,273,206,171,253,32,100,Critical
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,NA,94,88,206,150,102,176,28,91,Critical
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,NA,94,83,232,149,107,176,30,91,Critical
Jharkhand,Jharia,M.A.D.A.,332,RIRuO,NA,97,101,269,212,0,252,37,0,Critical
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,NA,91,93,388,202,134,275,55,99,Critical
Jharkhand,Saraikela Kharsawan,"RO Building, Adityapur",614,RIRuO,NA,96,94,223,160,117,193,29,100,Critical
Jharkhand,Sindri,BIT / PDIL,46,RIRuO,NA,90,61,273,170,104,230,48,90,Critical
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,NA,86,55,427,153,75,243,79,72,Critical
Karnataka,Bangalore,"Graphite India, White Field Road",77,RIRuO,NA,79,39,341,156,72,246,71,72,Critical
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,NA,96,49,412,111,69,158,52,49,Critical
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,NA,89,30,489,104,55,156,67,40,Critical
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,NA,97,38,418,175,84,272,75,84,Critical
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,NA,106,13,604,138,49,289,112,51,Critical
Karnataka,Bangalore,"Jnanabharathi, Bangalore University",598,RIRuO,NA,107,18,51,41,38,45,4,0,Moderate
Karnataka,Bangalore,Victoria hospital,406,RIRuO,NA,93,24,362,102,43,198,70,38,Critical
